palavra,iteracao,tempo,memoria_pico_kb
egzfhhhdbdlsxbxcnwbdvflwiqbpbicyecuroolqiinrxiuuchkgcimgfdmbeledqvimwjtvqidckvgzrvqmcnwynparlzvqogo,1,0.000001,904
gkl,1,0.000001,904
wiatgahuixdiefhfvaabrjvbnyzcdgylgitzfuvkfempznctflqtaewmtzdijrakxgsnaqmhwjwxqfbeljpaacjfjkwtifwiiwk,1,0.000001,904
bkye,1,0.000000,904
qwtdrerwyzonbvofprqcyojdwmithmfoetcvddbdmppvmrmfkuhezkqosodyfucjygdzjaobzadiynmlcltuezhkbcmwiwxzbbb,1,0.000001,904
kaujz,1,0.000000,904
axnmcgyroiigyjglgyfyexzjdhcnrwmqmmfbgaubnpwlbvmtldhnphubqiuzzmzoefvmaamdeiagkamaymsghkuldmzmerortwa,1,0.000001,904
cyavqr,1,0.000001,904
pugmvahorhcljpkoqfwqbxodmzxcvwkvnqhafljsjnmesxwwcuzhbzbgkvfaawgwsneniphreowwyflnjsxkjbhlnjtwszyuyba,1,0.000001,904
jcbefke,1,0.000001,904
dstiysldizdobmxdtzffvflaninhujbpqzwwweipxdyuohtydwtfofdrpmwaelgvjjzltajxvknhxvfvtekfwgkzjtlvkggqyiq,1,0.000001,904
kjrfhseg,1,0.000000,904
aibzudupyrlsuohlfgsmrpybirlmfowmduwoivhgwoabznqycwkvokgfhzqpyqtlluyknnntcjagyldmljycnqtjlzfrgdgmncb,1,0.000001,904
zgwodbbmp,1,0.000000,904
ejqoqcaprvmtqvmpeywexqtjrljzgjnuwbalhyqhaksahuppcgelpuqlnmmlpgxhzggboigbczuhwasopgxmjnbtucxaywzkbtl,1,0.000001,904
dgcvdrtvhp,1,0.000000,904
mvudwqvmspjmcglsluyddkecsxiupmlvepjnosumhvtlcogiowpoevwrzqzbomvzmimviktvjxaaxihiycxjdwgtcbiokuvicdp,1,0.000001,904
fgjenzjdlls,1,0.000001,904
pebvjdsnhneisimcavtzokrgbqfgfmbrlyhhuuwtyunqzmduufucwrtwkahftypprycypxntxwggjboyardzbevlxcbqgqyxlrb,1,0.000001,904
ilnsbkwoybma,1,0.000001,904
glmfpzszyhtkksljcquwffbaebayshvqufubdmdtfoknckbupohnpegynniwzlsphmjdyiloyhmrnizvkzobjokrznufjkuseco,1,0.000001,904
mogmizjeijlyl,1,0.000001,904
ecnpzppfyifvizsxondpkvtpzzbpgjufmianxlecsnanhsjfdmpylgtmcdrbpenurluhvavhznczngyudnlaougbkwouipuvuuc,1,0.000001,904
fjghwmvbanblqm,1,0.000001,904
dwmjnoeprtnumpbogsikauqyxatsufmjsaqlfyjmyofqleoybcuthgbrjvpzoweogzbfoxfypyfzznnmaledaituguctsybighg,1,0.000001,904
iojzhhxsgvpdpuw,1,0.000000,904
bpkjquldflnyrhpmntywygtichmmlrzniawsnjjuuvslfxybvjblncksmnvsfgppktyzejsptwnwmmzkoxlfnwvbkxilvstdmpo,1,0.000001,904
wpdvaojiviehdexp,1,0.000001,904
iagmvtcyijrdshphroqpavfrwgxvqrmilbzctljvczbvrjsaowdwkdhbxvuxfdymnatejfpcrlqkurczhhbcaplgoxbhhjpujfk,1,0.000001,904
lzfhkmdmjxusrycvn,1,0.000001,904
inarvbheymcqueqnmkbtkbhdadihgydqwanyvskzepaexuyahkkzzxnicmsvxaaejlxpavowwscgirilsuujwaythopueasjebl,1,0.000001,904
vppwxsvapwgyhzymjm,1,0.000001,904
ejfrnofjsfknhcjtgvqvallhcqhwezuyqswmhmimfziiacmusdpafvkuglrxeftzqgzduilxixnehtilrrwshwzscvcfkjbbleh,1,0.000002,904
jtbxdnnccsdqrxgcmmi,1,0.000000,904
uqajekahaioxsybdqtuaxhmtwrmmqptvyexfxpuldlmuvssesldcdbdjuiaehnxfiscluyoihypxftepcadwnoobalsablvnomt,1,0.000001,904
ylcuubqsxaymaimfqbgq,1,0.000000,904
jcxeermnmnsoycrupkkukyndtvqzoxjzmpzfacoxembqftapqnscuceravysgrohldsgudqmzhsmmxmkklmgeskpxeozadpmrdq,1,0.000001,904
oiapncnydahoualqsmwrc,1,0.000001,904
dpefuzjtqnntifpdcrbehninusubfxutdbeqzebzdzihpdkqjgclfjjwhxllucyaatfconvfouokqrdsynqfxtiasnvhnsoyqkx,1,0.000001,904
zitrjgxubiaihchzfnzidb,1,0.000001,904
czmevdxedgmmickxkfijqsixwntzluvqeutawcyvomiwvlowypfjhppxrpjzslimnkddhrxxahmwzqnghxibhyrqtefhuhkggdx,1,0.000001,904
lqjpxfhxuustogjbjeklqmz,1,0.000000,904
hrrxqzxlbcafqzfnmaaegzuhigkpzjxwyjajqvvjjziqmoxqxugdplckojlaqfgopoqdnfhgdupzlbdifcivqotltouqqkywzqn,1,0.000001,904
qvwiekspaocslgwtbqrvwrkx,1,0.000001,904
ogivuxnqnwnrblohmdjfbqaturojmqxrsqcdfqfhpfkknjdgqvtgadmhkwuntggispmkkiiynvlpxzcomchgymvinhlaxeqrkaw,1,0.000001,904
xjagiubgvghlbuvpneuepzene,1,0.000001,904
rsrouituydhgrjsxwneynghbchtwicfpatbkqcbigbrdykdffouogvpelkhhrndacgcrsqsxgbovdhnqlpxvugvvnuxmvqjgdjf,1,0.000001,904
vastqnmilypcumstflsnvgzdzy,1,0.000001,904
myhmpbjwdmywkkclfwtxbkxvvxqxtcxlgwkryekndjfnbnliddfkpzsbfokfybzpqipgrgxvikozexzvhmcjkzorhlwpxigmcfe,1,0.000001,904
zrzmtxjcynktntdxziyjprqoyhl,1,0.000001,904
cffezofsspruceudzbczoghqrgnogmjzfevqirvpikywavvoprnrnzakzcizjuwomdjkogobdahxrdzczxaqoldehqxrtfcybat,1,0.000001,904
qzcgmbmxajeofxhhsnrzxwyoaxdd,1,0.000000,904
oayaoduddfyjnjalghcyokbuezumyfseaftvofsirzrwskeieuggijwizwsywngqltqlonvteqoubfujqkynelkeqgloqkahoik,1,0.000001,904
mjnvdedvyapzytzxlhftimdrczsnr,1,0.000001,904
rwhvofolnksajwluuphmilnugiguajmeyjkwifrvyqcjgbxybiixgjhnlgsryojphoadhlvyufsugzfdrawieijqbrmotpvaqrr,1,0.000001,904
vpciwyzqcyfnsntdbpzfiurhidrdyn,1,0.000000,904
smmwarhlekoudssfevrqlvikeozdojalkluvrsusrfqdtnqnxszrulmydheotqpmmfqblzmninhqpwxlrtidaxnvsqwtgoidijz,1,0.000001,904
yrqdntthqnonveubhtzfcabupaaldbm,1,0.000001,904
slfqxrllfhymvtccykbpyqimbqrllfjpbvgzpgifbgazivavvalrvvutwadavioaenanndbzckjtrtbjiwpjscpktmrnrnbxfph,1,0.000001,904
mpwlecferioenfchobrwjhtgocpmcewf,1,0.000000,904
ralfzblmxyjpuaazazvvgzetuaubvdxbpmsrnvfykqunzlrkgpazioyvpldyydzlvckphabzikilhprbqmyspwuwnsvpelvtwrp,1,0.000001,904
cctanpsnzqzxntvsvjhyekeiwycvpxpcv,1,0.000001,904
ixnobgvomxxhibximaeeobgcpxkxukfmbfaxmfhkzkcytgtatdmngtdxfkbrfqtumskxwlbszzmsajiidlxnfvwcksnxprysmwg,1,0.000001,904
irdfsglhfztnqjnjsvvxgxmazpoozoiubb,1,0.000000,904
lnoqrqongqbhvilqyzburzunawpchysmtwbcqxzukawuhbvdgiikcywnecpfhbsbsffzrrzgaulzccgjkzdpgimvcpllnlzjjoi,1,0.000001,904
ntlvlqqvhkqginfzkpudibbzcxypbtbxiek,1,0.000001,904
tnukiamubfolwkspbjqrskfgudrvqrynucwcycgfxtxgalqajjrpwlzysxblolemgdspmsrcllqzdgovfbyjkkrjudzlgltavhf,1,0.000001,904
fatmbtyaexomljmxwbkpegndzhgwnvepoxuf,1,0.000001,904
dhykguzbaaobghfdriikyulovwnxtfmnpvtqvloikooogcsoaaawybvlyetvifjkjcxxnbkkyspuaqtyqesxphztvjlbljpgukp,1,0.000001,904
tbotmzduffsovktaqtzlrvasxaepjiuyogjlt,1,0.000000,904
libortcusjlrmrtprzdesoddcfhyvqmwfmhamughihjxuwdasmlrligaeblrpgljadezxgylpwdozentaqznjyezrwteqpcwwef,1,0.000001,904
odhymqpoiinuxunsthjmufqzuzwfttenpfkrre,1,0.000001,904
eaufpifwchzmvfnuxgaecgbnqgofakhqczlfhiyqqhpejxypffvddqstgjluqwdgkwurirztqxptentwfuvufzokgobsjrkbuyy,1,0.000001,904
flfocjpslyltdrwkpcacdymwpbvvuotnirmwnrd,1,0.000000,904
qcrbbdijvderagwhdodcsanjuehuycvwrubrzzjudbaxuenjzvxaftqgmbratyokurawrqwxomkimjzzggepsflwbuxrriautmc,1,0.000001,904
jnplpssxisxpudcflkcbklixmrbbyrekmccapqel,1,0.000001,904
sluiknjafcigkxxxeagsyrksmgwmhtrhdrhwerjgqgwdbvidpnpkajujemxmkhiuqmitbsbuboiosyepjhpqngrttukjwpwlxrj,1,0.000001,904
purstzottqlwopkrnygluksqujewfzualtvmlcpts,1,0.000001,904
qnyjroqrgfivevizgksjlrasccvotqurokohxrlxndfvicrklfcilvbfyxxagqhuccdjkvsfwjstwlhtsjqxhugmdjwnsipvfln,1,0.000001,904
zxisresvwxpuvgkhkwihgsscnhirlvuucranptoeaq,1,0.000001,904
kqqgklypcmdbidxomirdscfoigcamlalhuuvdcmqfbzjqfivkgjhzqxuuwaawnxetgolwneikqymdmxhictohodhegmlpwjokdc,1,0.000001,904
onrgtobayytrytagpfhusnvujsdpivjggfucicslrkh,1,0.000000,904
